Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W);Nutzungsart;Bildschirmhelligkeit;Volume;Bluetooth;Microfon;Kamera ;Weitere Anwenundungen geöffnet
"16-11-22 14:40:00;0;0;0;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 14:41:00;0,009;0,020637;2,0637;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:42:00;0,063;4,33566;14,4522;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:43:00;0,063;5,05827;14,4522;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:44:00;0,162;13,00698;37,1628;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:45:00;0,157;12,589045;35,9687;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:46:00;0,157;12,59454;35,9844;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:47:00;0,177;14,604624;40,5684;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:48:00;0,169;13,950612;38,7517;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:49:00;0,193;16,816862;44,2549;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:50:00;0,169;13,956696;38,7686;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:51:00;0,166;13,32814;38,0804;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:52:00;0,166;13,32814;38,0804;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:53:00;0,165;13,24785;37,851;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:54:00;0,172;14,204448;39,4568;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:55:00;0,166;13,32814;38,0804;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:56:00;0,165;13,24785;37,851;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:57:00;0,167;13,785516;38,2931;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:58:00;0,167;13,40843;38,3098;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 14:59:00;0,185;15,709275;42,4575;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 15:00:00;0,218;19,495086;49,9874;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 15:01:00;0,143;11,15829;32,8185;Netflix;0,5;1;aus;aus;aus;keine"
"16-11-22 15:02:00;0,117;8,581248;26,8164;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:03:00;0,117;8,584992;26,8281;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:04:00;0,12;8,80512;27,516;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:05:00;0,063;4,909464;14,4396;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:06:00;0,118;8,662144;27,0692;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:07:00;0,112;8,22528;25,704;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:08:00;0,111;8,158944;25,4967;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:09:00;0,115;8,4456;26,3925;Standby Desktop;0,5;1;aus;aus;aus;keine"
"16-11-22 15:10:00;0,109;8,001472;25,0046;Standby Desktop;0,5;1;aus;aus;aus;keine"
