Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W);Nutzungsart;Bildschirmhelligkeit;Volume;Bluetooth;Microfon;Kamera ;Weitere Anwenundungen geöffnet
28-10-2022 17:27:00;0;0;0;nan;nan;nan;nan;nan;nan;nan
28-10-2022 17:28:00;0,063;1,877967;14,4459;Standby Desktop;1;1;aus;aus;aus;keine
28-10-2022 17:29:00;0,197;20,327445;45,1721;Standby Desktop;1;1;aus;aus;aus;keine
28-10-2022 17:30:00;0,21;21,66885;48,153;Standby Desktop;1;1;aus;aus;aus;keine
28-10-2022 17:31:00;0,238;25,660684;54,5972;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:32:00;0,263;29,562778;60,3322;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:33:00;0,266;31,120404;61,0204;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:34:00;0,251;29,365494;57,5794;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:35:00;0,25;29,2485;57,35;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:36:00;0,246;28,2285;56,457;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:37:00;0,257;30,080565;58,9815;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:38:00;0,251;29,391096;57,6296;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:39:00;0,251;29,365494;57,5794;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:40:00;0,253;29,599482;58,0382;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:41:00;0,252;29,508192;57,8592;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:42:00;0,273;31,995054;62,7354;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:43:00;0,257;30,093672;59,0072;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:44:00;0,254;29,755338;58,3438;Netflix;1;1;aus;aus;aus;keine
28-10-2022 17:45:00;0,264;30,3072;60,6144;Netflix;1;1;aus;aus;aus;keine
