01.01.2022 00:15 Sa;104,636
01.01.2022 00:30 Sa;96,775
01.01.2022 00:45 Sa;88,483
01.01.2022 01:00 Sa;82,117
01.01.2022 01:15 Sa;76,464
01.01.2022 01:30 Sa;71,626
01.01.2022 01:45 Sa;68,226
01.01.2022 02:00 Sa;65,822
01.01.2022 02:15 Sa;62,674
01.01.2022 02:30 Sa;59,97
01.01.2022 02:45 Sa;57,932
01.01.2022 03:00 Sa;57,404
01.01.2022 03:15 Sa;58,666
01.01.2022 03:30 Sa;58,192
01.01.2022 03:45 Sa;59,714
01.01.2022 04:00 Sa;60,421
01.01.2022 04:15 Sa;62,043
01.01.2022 04:30 Sa;62,949
01.01.2022 04:45 Sa;64,198
01.01.2022 05:00 Sa;67,503
01.01.2022 05:15 Sa;68,809
01.01.2022 05:30 Sa;69,702
01.01.2022 05:45 Sa;70,43
01.01.2022 06:00 Sa;70,739
01.01.2022 06:15 Sa;66,793
01.01.2022 06:30 Sa;67,888
01.01.2022 06:45 Sa;70,313
01.01.2022 07:00 Sa;73,549
01.01.2022 07:15 Sa;79,472
01.01.2022 07:30 Sa;85,998
01.01.2022 07:45 Sa;93,965
01.01.2022 08:00 Sa;103,289
01.01.2022 08:15 Sa;115,067
01.01.2022 08:30 Sa;127,446
01.01.2022 08:45 Sa;139,318
01.01.2022 09:00 Sa;150,877
01.01.2022 09:15 Sa;161,481
01.01.2022 09:30 Sa;171,55
01.01.2022 09:45 Sa;178,34
01.01.2022 10:00 Sa;184,815
01.01.2022 10:15 Sa;191,208
01.01.2022 10:30 Sa;195,929
01.01.2022 10:45 Sa;198,768
01.01.2022 11:00 Sa;201,674
01.01.2022 11:15 Sa;203,478
01.01.2022 11:30 Sa;208,184
01.01.2022 11:45 Sa;210,772
01.01.2022 12:00 Sa;211,837
01.01.2022 12:15 Sa;211,69
01.01.2022 12:30 Sa;213,013
01.01.2022 12:45 Sa;210,462
01.01.2022 13:00 Sa;207,948
01.01.2022 13:15 Sa;214,054
01.01.2022 13:30 Sa;214,31
01.01.2022 13:45 Sa;208,115
01.01.2022 14:00 Sa;201,29
01.01.2022 14:15 Sa;190,74
01.01.2022 14:30 Sa;187,794
01.01.2022 14:45 Sa;184,181
01.01.2022 15:00 Sa;179,526
01.01.2022 15:15 Sa;171,793
01.01.2022 15:30 Sa;166,149
01.01.2022 15:45 Sa;165,166
01.01.2022 16:00 Sa;164,25
01.01.2022 16:15 Sa;165,806
01.01.2022 16:30 Sa;168,88
01.01.2022 16:45 Sa;172,657
01.01.2022 17:00 Sa;184,122
01.01.2022 17:15 Sa;193,482
01.01.2022 17:30 Sa;201,631
01.01.2022 17:45 Sa;206,808
01.01.2022 18:00 Sa;211,783
01.01.2022 18:15 Sa;216,013
01.01.2022 18:30 Sa;219,149
01.01.2022 18:45 Sa;219,999
01.01.2022 19:00 Sa;220,594
01.01.2022 19:15 Sa;219,21
01.01.2022 19:30 Sa;217,96
01.01.2022 19:45 Sa;215,996
01.01.2022 20:00 Sa;210,27
01.01.2022 20:15 Sa;203,272
01.01.2022 20:30 Sa;192,513
01.01.2022 20:45 Sa;182,003
01.01.2022 21:00 Sa;175,496
01.01.2022 21:15 Sa;182,101
01.01.2022 21:30 Sa;179,378
01.01.2022 21:45 Sa;174,245
01.01.2022 22:00 Sa;171,428
01.01.2022 22:15 Sa;162,421
01.01.2022 22:30 Sa;153,164
01.01.2022 22:45 Sa;143,527
01.01.2022 23:00 Sa;134,623
01.01.2022 23:15 Sa;122,91
01.01.2022 23:30 Sa;114,422
01.01.2022 23:45 Sa;104,861
02.01.2022 00:00 So;95,499
02.01.2022 00:15 So;104,658
02.01.2022 00:30 So;96,795
02.01.2022 00:45 So;88,498
02.01.2022 01:00 So;82,129
02.01.2022 01:15 So;76,474
02.01.2022 01:30 So;71,636
02.01.2022 01:45 So;68,238
02.01.2022 02:00 So;65,838
02.01.2022 02:15 So;62,69
02.01.2022 02:30 So;59,979
02.01.2022 02:45 So;57,939
02.01.2022 03:00 So;57,41
02.01.2022 03:15 So;58,673
02.01.2022 03:30 So;58,199
02.01.2022 03:45 So;59,724
02.01.2022 04:00 So;60,432
02.01.2022 04:15 So;62,057
02.01.2022 04:30 So;62,964
02.01.2022 04:45 So;64,214
02.01.2022 05:00 So;67,523
02.01.2022 05:15 So;68,829
02.01.2022 05:30 So;69,724
02.01.2022 05:45 So;70,453
02.01.2022 06:00 So;70,762
02.01.2022 06:15 So;66,809
02.01.2022 06:30 So;67,904
02.01.2022 06:45 So;70,329
02.01.2022 07:00 So;73,565
02.01.2022 07:15 So;79,489
02.01.2022 07:30 So;86,015
02.01.2022 07:45 So;93,983
02.01.2022 08:00 So;103,307
02.01.2022 08:15 So;115,089
02.01.2022 08:30 So;127,47
02.01.2022 08:45 So;139,347
02.01.2022 09:00 So;150,911
02.01.2022 09:15 So;161,519
02.01.2022 09:30 So;171,591
02.01.2022 09:45 So;178,384
02.01.2022 10:00 So;184,861
02.01.2022 10:15 So;191,26
02.01.2022 10:30 So;195,982
02.01.2022 10:45 So;198,823
02.01.2022 11:00 So;201,73
02.01.2022 11:15 So;203,534
02.01.2022 11:30 So;208,241
02.01.2022 11:45 So;210,831
02.01.2022 12:00 So;211,894
02.01.2022 12:15 So;211,746
02.01.2022 12:30 So;213,07
02.01.2022 12:45 So;210,519
02.01.2022 13:00 So;208,007
02.01.2022 13:15 So;214,124
02.01.2022 13:30 So;214,385
02.01.2022 13:45 So;208,189
02.01.2022 14:00 So;201,363
02.01.2022 14:15 So;190,804
02.01.2022 14:30 So;187,859
02.01.2022 14:45 So;184,245
02.01.2022 15:00 So;179,588
02.01.2022 15:15 So;171,848
02.01.2022 15:30 So;166,199
02.01.2022 15:45 So;165,218
02.01.2022 16:00 So;164,303
02.01.2022 16:15 So;165,862
02.01.2022 16:30 So;168,94
02.01.2022 16:45 So;172,722
02.01.2022 17:00 So;184,195
02.01.2022 17:15 So;193,562
02.01.2022 17:30 So;201,719
02.01.2022 17:45 So;206,897
02.01.2022 18:00 So;211,874
02.01.2022 18:15 So;216,105
02.01.2022 18:30 So;219,239
02.01.2022 18:45 So;220,089
02.01.2022 19:00 So;220,682
02.01.2022 19:15 So;219,293
02.01.2022 19:30 So;218,041
02.01.2022 19:45 So;216,073
02.01.2022 20:00 So;210,342
02.01.2022 20:15 So;203,335
02.01.2022 20:30 So;192,568
02.01.2022 20:45 So;182,052
02.01.2022 21:00 So;175,539
02.01.2022 21:15 So;182,156
02.01.2022 21:30 So;179,433
02.01.2022 21:45 So;174,298
02.01.2022 22:00 So;171,476
02.01.2022 22:15 So;162,466
02.01.2022 22:30 So;153,203
02.01.2022 22:45 So;143,562
02.01.2022 23:00 So;134,655
02.01.2022 23:15 So;122,937
02.01.2022 23:30 So;114,447
02.01.2022 23:45 So;104,883
03.01.2022 00:00 Mo;95,518
03.01.2022 00:15 Mo;84,591
03.01.2022 00:30 Mo;76,641
03.01.2022 00:45 Mo;69,094
03.01.2022 01:00 Mo;63,786
03.01.2022 01:15 Mo;59,76
03.01.2022 01:30 Mo;57,029
03.01.2022 01:45 Mo;54,885
